ID,"Score Date (GMT)",Timestep,Likes,"Average Likes",Comments,"Average Comments",Shares,"Avg Shares",Loves,"Avg Loves",Wows,"Avg Wows",Hahas,"Avg Hahas",Sads,"Avg Sads",Angrys,"Avg Angrys",Cares,"Avg Cares",Reactions,"Avg Reactions","Post Views","Avg Post Views","Total Views","Avg Total Views","Total Views for all Crossposts","Avg Total Views for all Crossposts","Views While Live","Avg Views While Live","Overperforming(+)/Underperforming(-) Score","Post Date (GMT)","2024-02-02 00:28:25",https://www.facebook.com/maisgoiasoficial/posts/703961038608432
"703961038608432	","2024-02-08 00:28:19",58,251,27,115,7,30,3,8,4,37,5,9,8,6,9,0,3,1,2,312,32,0,0,0,0,0,0,0,0,6.7x,,,
"703961038608432	","2024-02-05 10:04:32",52,247,17,114,7,30,3,8,3,37,4,9,5,6,7,0,3,1,2,308,20,0,0,0,0,0,0,0,0,8.9x,,,
"703961038608432	","2024-02-04 20:24:22",50,245,16,114,6,30,3,8,4,37,3,9,4,6,7,0,2,1,2,306,20,0,0,0,0,0,0,0,0,9.6x,,,
"703961038608432	","2024-02-04 17:57:23",49,244,16,113,6,30,3,8,4,37,3,8,4,6,6,0,2,1,2,304,20,0,0,0,0,0,0,0,0,9.7x,,,
"703961038608432	","2024-02-04 12:05:02",48,241,16,113,6,30,2,8,4,37,3,8,4,6,6,0,2,1,2,301,20,0,0,0,0,0,0,0,0,9.9x,,,
"703961038608432	","2024-02-04 01:48:10",47,241,14,113,6,29,2,8,4,37,3,8,4,6,6,0,2,1,2,301,17,0,0,0,0,0,0,0,0,10.3x,,,
"703961038608432	","2024-02-04 00:26:23",46,241,12,113,6,29,2,8,4,37,3,8,4,6,6,0,2,1,2,301,15,0,0,0,0,0,0,0,0,10.8x,,,
"703961038608432	","2024-02-03 19:21:13",45,240,12,113,6,28,2,8,4,37,3,8,4,6,6,0,2,1,2,300,15,0,0,0,0,0,0,0,0,10.8x,,,
"703961038608432	","2024-02-03 18:06:52",44,240,12,113,6,28,2,8,4,37,3,8,4,6,6,0,2,1,2,300,15,0,0,0,0,0,0,0,0,10.8x,,,
"703961038608432	","2024-02-03 14:12:14",43,235,17,111,6,28,3,8,4,37,3,8,5,6,9,0,3,1,2,295,20,0,0,0,0,0,0,0,0,8.3x,,,
"703961038608432	","2024-02-03 11:19:41",42,234,16,109,6,28,3,8,4,36,3,8,5,6,9,0,3,1,2,293,19,0,0,0,0,0,0,0,0,8.4x,,,
"703961038608432	","2024-02-03 08:56:03",41,232,16,107,6,28,3,8,4,36,3,8,5,6,9,0,3,1,2,291,18,0,0,0,0,0,0,0,0,8.4x,,,
"703961038608432	","2024-02-03 03:45:51",40,230,16,107,6,28,3,7,4,36,3,8,5,6,9,0,3,1,2,288,18,0,0,0,0,0,0,0,0,8.3x,,,
"703961038608432	","2024-02-03 02:25:57",39,229,15,107,6,28,3,7,4,35,3,8,5,6,9,0,3,1,2,286,18,0,0,0,0,0,0,0,0,8.4x,,,
"703961038608432	","2024-02-02 23:52:32",38,223,15,104,6,28,3,7,4,33,3,8,5,5,9,0,3,1,2,277,18,0,0,0,0,0,0,0,0,8.2x,,,
"703961038608432	","2024-02-02 22:34:10",37,216,15,99,6,28,3,7,4,33,3,8,5,5,9,0,3,1,2,270,18,0,0,0,0,0,0,0,0,7.9x,,,
"703961038608432	","2024-02-02 21:09:56",35,213,15,97,6,28,2,7,4,33,3,8,5,5,9,0,3,1,2,267,18,0,0,0,0,0,0,0,0,8.0x,,,
"703961038608432	","2024-02-02 19:47:16",34,207,15,95,6,28,2,7,4,32,3,7,5,5,9,0,3,1,2,259,18,0,0,0,0,0,0,0,0,7.8x,,,
"703961038608432	","2024-02-02 18:21:23",32,202,15,95,6,28,2,7,4,32,3,7,5,5,9,0,3,1,2,254,18,0,0,0,0,0,0,0,0,7.7x,,,
"703961038608432	","2024-02-02 16:55:03",31,191,14,93,6,27,2,7,4,30,3,7,5,5,9,0,3,1,2,241,18,0,0,0,0,0,0,0,0,7.5x,,,
"703961038608432	","2024-02-02 15:34:39",30,184,14,87,6,27,2,6,4,29,3,7,5,5,9,0,3,1,2,232,18,0,0,0,0,0,0,0,0,7.2x,,,
"703961038608432	","2024-02-02 14:10:41",28,177,14,86,6,25,2,5,4,27,3,7,5,5,9,0,3,1,2,222,18,0,0,0,0,0,0,0,0,6.9x,,,
"703961038608432	","2024-02-02 12:46:29",27,167,14,76,6,25,2,4,4,26,3,6,5,5,9,0,3,1,2,209,17,0,0,0,0,0,0,0,0,6.5x,,,
"703961038608432	","2024-02-02 11:27:34",24,155,13,70,6,24,2,4,4,24,3,5,5,4,9,0,3,1,2,193,16,0,0,0,0,0,0,0,0,6.1x,,,
"703961038608432	","2024-02-02 10:10:47",22,126,11,57,5,24,2,3,4,22,2,3,4,4,7,0,2,1,2,159,13,0,0,0,0,0,0,0,0,6.2x,,,
"703961038608432	","2024-02-02 08:51:25",19,111,11,48,5,21,2,2,4,18,2,3,4,4,7,0,2,0,2,138,13,0,0,0,0,0,0,0,0,5.3x,,,
"703961038608432	","2024-02-02 07:38:00",17,99,11,44,5,16,2,2,4,17,2,2,4,3,7,0,2,0,2,123,12,0,0,0,0,0,0,0,0,4.7x,,,
"703961038608432	","2024-02-02 06:25:50",14,95,10,43,5,16,2,2,4,17,2,2,4,3,7,0,2,0,2,119,12,0,0,0,0,0,0,0,0,4.7x,,,
"703961038608432	","2024-02-02 05:14:59",12,93,9,43,5,16,2,2,4,17,2,2,4,3,7,0,2,0,2,117,11,0,0,0,0,0,0,0,0,4.8x,,,
